customerid,namestyle,title,firstname,middlename,lastname,suffix,companyname,salesperson,emailaddress,phone,passwordhash,passwordsalt,rowguid,modifieddate
29629,False,Mr.,Carlton,M.,Carlisle,None,Camping and Sports Store,adventure-works\josé1,carlton0@adventure-works.com,193-555-0116,GJhY98QoDTRmv/6f6RcLwoj2v33jAZopR8AjLor/sqc=,fYgdeM0=,2b0cf9c8-2517-4763-99e1-324422df67e1,2007-09-01 00:00:00
29631,False,Ms.,Jane,N.,Carmichael,None,Rural Department Store,adventure-works\shu0,jane0@adventure-works.com,716-555-0167,ZIXjFmD2T/Gf9bPHIkx7X82eU+I86/8p3rmYxWqwtkQ=,BUBjqIQ=,88b75a1f-858d-4750-a864-717f49a2de10,2007-07-01 00:00:00
29632,False,Ms.,Jovita,A.,Carmody,None,Sports Commodities,adventure-works\david8,jovita0@adventure-works.com,646-555-0137,d3uGruCihzt7+Dipsh3+fE3iZd/uKCf8sy56xa5chxU=,zmqmiAQ=,b162868c-2ca6-4ff6-9dd0-6fa6c03d1b99,2005-09-01 00:00:00
29635,False,Mr.,Rob,None,Caron,None,Responsible Bike Dealers,adventure-works\jillian0,rob2@adventure-works.com,620-555-0117,yaVIQNTOMlDFxsn08drJdHoPTkydd5XKkeBgAPyVGbk=,v43cndI=,77fdc952-805b-4997-8363-ede49a55d31f,2006-09-01 00:00:00
29636,False,Mr.,Andy,None,Carothers,None,Western Bike Supplies,adventure-works\shu0,andy1@adventure-works.com,944-555-0148,Q0MU0NsjDAbnQSqMBkP9Sm4G43DKXcirOnAKlzYSYnI=,DZ8e0Xk=,625f2b1d-2f34-4020-88b8-032310645b2e,2006-07-01 00:00:00
29637,False,Ms.,Donna,F.,Carreras,None,Advanced Bike Components,adventure-works\jillian0,donna0@adventure-works.com,279-555-0130,LNoK27abGQo48gGue3EBV/UrlYSToV0/s87dCRV7uJk=,YTNH5Rw=,df795c3f-bc55-4362-b8ad-3a4dcdcb2ff5,2005-09-01 00:00:00
29638,False,Ms.,Rosmarie,J.,Carroll,None,Aerobic Exercise Company,adventure-works\linda3,rosmarie0@adventure-works.com,244-555-0112,OKT0scizCdIzymHHOtyJKQiC/fCILSooSZ8dQ2Y34VM=,ihWf50M=,3611a221-a20a-463a-ac19-265db991ccc0,2007-09-01 00:00:00
29639,False,Mr.,Joseph,N.,Castellucio,None,Corner Bicycle Supply,adventure-works\josé1,joseph1@adventure-works.com,180-555-0114,NLAR7H8spiCb/C0qY+3qkJm3VuoSOqDw7yspRc1CTTg=,Whn5BXY=,16864fbf-49c0-46ca-ac6c-530eb20cad1b,2005-09-01 00:00:00
29641,False,Mr.,Raul,E.,Casts,None,Westside Plaza,adventure-works\shu0,raul0@adventure-works.com,362-555-0162,NghLMnHjoD3F7B0y8sTtYlpCq5imhhvrn56YUAUNEm4=,68RH5og=,bd94e4f9-a355-4cda-8988-9d7b91637f13,2007-07-01 00:00:00
29643,False,Mr.,Matthew,J.,Cavallari,None,Outstanding Cycles,adventure-works\david8,matthew1@adventure-works.com,695-555-0161,I5oNRDKehZnUlVTunv+30kLR3rM7VyVA2vJyu6CNveI=,beKST+I=,0396a776-c530-4f99-87da-ff732f486d85,2007-08-01 00:00:00
29644,False,Ms.,Brigid,F.,Cavendish,None,Vigorous Sports Store,adventure-works\jae0,brigid0@adventure-works.com,1 (11) 500 555-0178,20rlqqjWOPLBi7oYKBrHMzouHcYl6OknJcV+yc0zQKo=,QS6UTS4=,d28aa7e1-f125-44ad-a121-544332c2254f,2006-09-01 00:00:00
29645,False,Mr.,Andrew,None,Cencini,None,Sports Merchandise,adventure-works\pamela0,andrew2@adventure-works.com,644-555-0111,Eo1pvctUvdkRpUgGHwOfILlh5uZiYuLv+eBXLj1viR8=,LCi+QgQ=,0ab26819-705b-44ad-8b7d-514be2632220,2007-09-01 00:00:00
29646,False,Ms.,Stacey,M.,Cereghino,None,Fitness Toy Store,adventure-works\jillian0,stacey0@adventure-works.com,351-555-0131,u/IE2VGaycl6iSw+8Es0ro5F6g//TK/eJA3ICMBHXmc=,n+71V7I=,f21027ce-0506-4eb6-98d6-6d4e08f7087e,2005-07-01 00:00:00
29649,False,Mr.,Pat,A.,Chambers,None,General Cycle Storehouse,adventure-works\garrett1,pat1@adventure-works.com,127-555-0124,cTcQEsZdQPvGLuu5iDRwrqp4fM6oBxNFi+X7anqqPzA=,bvb6hus=,895ced36-42b7-44e8-a1e4-81ae5f721a37,2005-09-01 00:00:00
29650,False,Mr.,Forrest,J.,Chandler,None,Fitness Cycling,adventure-works\shu0,forrest0@adventure-works.com,448-555-0179,QHqQuKTbipj1cJzbCkCMH+zQGE09jtToYi9uy0cv77E=,KOGA0IE=,0ba6ec0d-0b9f-4b40-ae69-3079a9ef9b22,2007-07-01 00:00:00
29651,False,Mr.,Lee,J.,Chapla,None,Good Bike Shop,adventure-works\jillian0,lee0@adventure-works.com,223-555-0184,yRB9ce1nhQby11wW4ZjaqdAHLcagnHeelEySfrDOivk=,af0s25U=,50f790e6-1c54-49d1-a0bd-687a3e381c28,2005-09-01 00:00:00
29653,False,Mr.,Pei,None,Chow,None,Thrilling Bike Tours,adventure-works\linda3,pei0@adventure-works.com,789-555-0184,UVTWGfYZBU+ZmXLqhvqZFDwYXdtX14O87KHOHN36XDc=,pI/k4Qw=,16ffb394-535a-428d-aa61-96863a7ac191,2007-09-01 00:00:00
29654,False,Mr.,Yao-Qiang,None,Cheng,None,This Area Sporting Goods,adventure-works\jillian0,yao-qiang0@adventure-works.com,344-555-0181,3LD/Jab7lP6gIPvK5EdTnwhHBo+dxs3y9GbIgmN6E8Q=,BG6Ps64=,f92ce3ca-13dd-4e50-b882-8ca0cc320dcb,2006-07-01 00:00:00
29655,False,Ms.,Nicky,E.,Chesnut,None,Full-Service Bike Store,adventure-works\michael9,nicky0@adventure-works.com,264-555-0164,weDREfIdFEInQXlEuUK3AjoRiqGR7g2cJQHBZ1BT5xw=,ggpF1Og=,a456fe6e-dffd-4bb0-9585-abd9229194f8,2005-09-01 00:00:00
29659,False,Ms.,Ruth,A.,Choin,None,Genuine Bike Shop,adventure-works\jillian0,ruth1@adventure-works.com,273-555-0181,ZJ2widMDceVmN30pfgwzpo2Z53AGVrr2LIlFccG4KEc=,BuagBic=,293f44d5-8949-4fd0-9337-ddacd20fd948,2005-09-01 00:00:00
29660,False,Mr.,Anthony,None,Chor,None,Extreme Riding Supplies,adventure-works\linda3,anthony0@adventure-works.com,429-555-0145,8C7859RNaDWPJkDaaxgaJaZPSf7ikFyFa//RYOz0aPo=,tAAs8Fk=,e24193f1-f5df-481e-ac1a-bab86bd72c54,2007-09-01 00:00:00
29662,False,Ms.,Jill,J.,Christie,None,Fleet Bikes,adventure-works\linda3,jill1@adventure-works.com,927-555-0198,Vlb2fj7yW2d5JtfPLZvbicsQNEgLhh0b93Uw2pLEBuE=,2cMmc9Y=,e4665260-d5a1-4b3d-b727-09407fd598f1,2006-08-01 00:00:00
29663,False,Ms.,Alice,None,Clark,None,Local Hardware Factory,adventure-works\jillian0,alice1@adventure-works.com,221-555-0141,ZZhnNULC5d/7tZv0hUtCl4jKwgyZql8aSrIzlTaTvg0=,hGHOthw=,e7da5db3-117a-49f9-a4c7-4d24d1fb75bf,2006-09-01 00:00:00
29666,False,Ms.,Jane,None,Clayton,None,South Bike Company,adventure-works\garrett1,jane1@adventure-works.com,206-555-0195,o02Imw+gyZX9J1yiTBKYD4M5XlerPqz3usX+v3CsDHA=,PZCGT2g=,d59815ec-776c-403f-ab1f-90712bbad966,2007-08-01 00:00:00
29668,False,Ms.,Connie,L.,Coffman,None,Discount Bicycle Specialists,adventure-works\jillian0,connie0@adventure-works.com,426-555-0181,Wkqdm53a0uim7B/e9+IT0I81uzxMNnh1FBaeXd3nyP0=,3tT/ffQ=,02628723-f551-4361-a033-76c438616397,2005-11-01 00:00:00
29671,False,Mr.,Pat,None,Coleman,None,Machines & Cycles Store,adventure-works\garrett1,pat2@adventure-works.com,292-555-0128,61UcbVZnGT5eqxs0oFMv4JyipeaQCUZgUZkPgtVNBDo=,7+I+4k4=,1d66e73c-e136-417f-af0b-ac224d8a7aa3,2007-07-01 00:00:00
29673,False,Mr.,John,L.,Colon,None,Two Wheels Cycle Store,adventure-works\linda3,john14@adventure-works.com,397-555-0144,9HEZAYB77VjHRd83ZDP94/ugDP0PhvUiIRCi3Cl5y7A=,j6Z6ny8=,82ff1aac-744a-447d-87d6-7fac7c2baf89,2005-09-01 00:00:00
29674,False,Mr.,Scott,A.,Colvin,None,Westside Cycle Store,adventure-works\jillian0,scott1@adventure-works.com,119-555-0144,4QoOmH+4/mabhuXqIQnoVm+1MjvTYyAHid9vpNehSxs=,sA8S2v4=,f786cfb2-375c-4669-befc-42832c09f36a,2005-12-01 00:00:00
29677,False,Mr.,William,J.,Conner,None,Urban Sports Emporium,adventure-works\josé1,william1@adventure-works.com,383-555-0111,GZyRS1qyQMxNWXYf0B1uj2nyQjhk4oN+Qv3geEMUy5A=,94SS2WQ=,55c0550f-92f6-49bf-a5f9-b88fbf037b04,2006-08-01 00:00:00
29680,False,Ms.,Dorothy,J.,Contreras,None,Sixth Bike Store,adventure-works\josé1,dorothy0@adventure-works.com,428-555-0176,NEJS/vq9oswLdLNa4VH0fbwb+fgxDYIHg2hPP1fn7t4=,lnEeim8=,e81efe51-e6d6-4178-822b-280bef4a62e6,2005-08-01 00:00:00
29682,False,Mr.,Scott,None,Cooper,None,Vehicle Shop,adventure-works\shu0,scott2@adventure-works.com,773-555-0182,BEePqLIHwU7zsFCJQcHQ8OGm8nkvUlj8YPFAT/teYOc=,+v0uddA=,6e0d2d51-9957-4449-a625-2f1493a0419e,2005-10-01 00:00:00
29683,False,Ms.,Eva,None,Corets,None,First Department Stores,adventure-works\david8,eva0@adventure-works.com,542-555-0164,vcqabvDo1Fnle8WElVwwEwNwCGZKfSJvDCUVyps/SuQ=,gF7bPbY=,f5594fbf-d2e8-4d1d-a522-a5f003470401,2006-07-01 00:00:00
29684,False,Mr.,Marlin,M.,Coriell,None,Grand Sport Boutique,adventure-works\michael9,marlin0@adventure-works.com,941-555-0155,mWVOfXPZkIFZzQA0Ilekhl49LfhS31vdOtYEmBKSIkk=,FSkdXTM=,e2e14d3c-c100-4541-ad38-9cd1bb8c7b9a,2006-08-01 00:00:00
29686,False,Mr.,Jack,None,Creasey,None,Distinctive Store,adventure-works\shu0,jack2@adventure-works.com,539-555-0182,ao0Wb4hq67DVVcZYX2vO/mOgiZoTtJMBJzi4/wt8mrE=,7wlaV4Y=,6f023446-d4c3-43eb-9ad2-1dce20948111,2005-09-01 00:00:00
29688,False,Mr.,Grant,None,Culbertson,None,Handy Bike Services,adventure-works\michael9,grant1@adventure-works.com,859-555-0173,nkkvhNgGMBN5JS2w3ewyvV4KCwrTMYC4+yoS/4hIUok=,fqDHYeo=,d60ae47b-4a9f-44b5-a7ae-3d1091040242,2005-08-01 00:00:00
29689,False,Mr.,Scott,None,Culp,None,Friendly Bike Shop,adventure-works\david8,scott3@adventure-works.com,119-555-0167,Xf7AJHcry+LouddJR3dIGHjo8du8EO+214E81gPafj0=,rXx8clQ=,afd514c0-d0b3-4dfe-a637-ba1622fae8a1,2006-07-01 00:00:00
29690,False,Mr.,Conor,None,Cunningham,None,Fashionable Bikes and Accessories,adventure-works\shu0,conor0@adventure-works.com,115-555-0113,/yVQQacXlcqZVH6x20kKCxCJ+sP4EjmPQXwwwInfNH0=,vJ/AcXo=,bfaddee5-d70c-4325-9c87-34d99c449391,2005-09-01 00:00:00
29692,False,Mr.,Thierry,None,D'Hers,None,Citywide Service and Repair,adventure-works\josé1,thierry1@adventure-works.com,680-555-0192,i+ukExAQLOnEpQFQLme/QYR8w6kME+/MdykXoSxwgFI=,FooiQMs=,f5589ef1-277f-449e-a042-71571b86449a,2006-07-01 00:00:00
29695,False,Ms.,Megan,N.,Davis,None,Rugged Bikes,adventure-works\david8,megan1@adventure-works.com,839-555-0198,G6BHmDa5WKyDUTzHeOszC8XHrN8wPjUM76UTZb39tWc=,BNNUWH4=,27b23835-1295-4527-8fb5-fca7d91a4c8f,2007-09-01 00:00:00
29696,False,Sr.,Alvaro,None,De Matos Miranda Filho,None,Principal Bike Company,adventure-works\shu0,alvaro0@adventure-works.com,551-555-0155,BrhebOErAX2tbZ1LZxAb8hwE96ZdIjikETxIsIKfpLw=,v5pJpw0=,c7cbb299-403e-4c27-bac7-ab690cb7891a,2006-09-01 00:00:00
29698,False,Mr.,Jacob,N.,Dean,None,Finer Riding Supplies,adventure-works\josé1,jacob0@adventure-works.com,767-555-0151,afWrNdx+a97zBy+NoV2h3JgMyfVCLmD1FMz7OiwtBRQ=,KVVlFXY=,68d9d7f4-4e7c-4752-ab9f-ef90cfedb111,2005-08-01 00:00:00
29699,False,Mr.,Alexander,J.,Deborde,None,Neighborhood Store,adventure-works\garrett1,alexander1@adventure-works.com,394-555-0176,QC+He1HXF5uNbU5XqduVyZW0SlvdnAE2jhuD/06ukjE=,Uifpoxw=,719c6825-24a8-4982-8cf6-e7886c4983e7,2006-08-01 00:00:00
29702,False,Ms.,Aidan,None,Delaney,None,Paint Supply,adventure-works\jillian0,aidan0@adventure-works.com,358-555-0188,6lcVqEc4gGgfW6DsOks/KuDIWIP5qFsrc8sXtmcwj6E=,DKu7/UM=,0836cdf2-523b-40c5-a491-f9e5d3736333,2005-09-01 00:00:00
29703,False,Mr.,Stefan,None,Delmarco,None,Preferred Bikes,adventure-works\linda3,stefan0@adventure-works.com,819-555-0186,9rOycZRxDntXWB8Y/285x4HS6G2ATNOzhqIhF+oBGqc=,BsI2IB4=,5a341978-f3d1-4812-bf75-eb00ca9682e3,2005-08-01 00:00:00
29705,False,Ms.,Della,F.,Demott Jr,None,Rewarding Activities Company,adventure-works\garrett1,della0@adventure-works.com,752-555-0185,oR9ACW0ZX4v6zBa57CfhePKM1qmHjgDwNdGaTDAp4io=,966Lz4w=,52e54e40-7914-4340-b5d8-f460753f849d,2005-08-01 00:00:00
29708,False,Mr.,Prashanth,None,Desai,None,Stationary Bikes and Stands,adventure-works\jillian0,prashanth0@adventure-works.com,138-555-0156,AT0SeSL9gTlDL0/MHFMEy5GrEjR12DBF5ag/cyHZpJY=,l32Vf08=,633e70bb-508f-45a9-9e1b-94afd9513a01,2005-09-01 00:00:00
29709,False,Ms.,Bev,L.,Desalvo,None,Successful Sales Company,adventure-works\pamela0,bev0@adventure-works.com,143-555-0113,j42zXyaSRc55aauqsJrhWZdZBGkW64qaL1hO1tdgdQk=,5dgYmOY=,139742bf-9980-4d0a-9a76-1e8c9701504b,2006-09-01 00:00:00
29710,False,Ms.,Brenda,None,Diaz,None,Downtown Hotel,adventure-works\shu0,brenda2@adventure-works.com,147-555-0192,84meSWqxRT9guwZSihzP3MYe7UV2VaMLBldOf8pTy5A=,lsd099Q=,a37a4f71-12a9-4055-bca8-c18b79098af1,2005-09-01 00:00:00
29711,False,Ms.,Gabriele,None,Dickmann,None,Certified Sports Supply,adventure-works\josé1,gabriele0@adventure-works.com,835-555-0116,6eApe0lB1ZkvyJB3Uo3LaYGV8sm2/NE9fUHXM7a0RYU=,M8SoIWU=,b34df238-e77e-4832-8184-487f0321f98f,2005-09-01 00:00:00
29713,False,Mr.,Dick,None,Dievendorff,None,Rampart Amusement Company,adventure-works\jae0,dick1@adventure-works.com,1 (11) 500 555-0193,dI9bbaCIElCUwy2PYLUYLNIrdM9yCcuTmHspqw8Wsxc=,FihOX8w=,31d75de8-5f8d-4513-ab55-4269d29baffd,2007-08-01 00:00:00
29714,False,Mr.,Rudolph,J.,Dillon,Sr.,Sundry Sporting Goods,adventure-works\josé1,rudolph0@adventure-works.com,722-555-0169,hynkaEM/LxC86JGG4q4AGgiar6iWoIu5bLVB3gFq2RM=,DUDd/5g=,df3fedce-e229-4ee7-8f01-402c29b7187f,2005-09-01 00:00:00
29716,False,Mr.,Blaine,None,Dockter,None,Farthermost Bike Shop,adventure-works\shu0,blaine0@adventure-works.com,156-555-0187,9E6RJtJrsu2iqMbyKMJRaVfPipCW5XObegb3KE3K85M=,hiSI26I=,803d1cd3-8c99-48f1-945b-85edbe393af8,2005-08-01 00:00:00
29717,False,Ms.,Cindy,M.,Dodd,None,Suburban Cycle Shop,adventure-works\david8,cindy0@adventure-works.com,706-555-0140,C7FdyTzpzS44mEsqgDG4s8S3CZJtl+yiy9sH4rEI9VY=,M4cce8o=,3e2c8bed-d9a3-43e1-88c9-d99bb37decf2,2005-08-01 00:00:00
29719,False,Ms.,Patricia,None,Doyle,None,Racing Bike Outlet,adventure-works\david8,patricia0@adventure-works.com,899-555-0134,oNLvRmGCzEz1jsW8aIhOPt/9GVbikzcIYiqMuMKtrYw=,ZeNva8s=,d839e525-0420-4ff9-858f-8226eabe8c70,2006-11-01 00:00:00
29720,False,Mr.,Gerald,M.,Drury,None,Utilitarian Sporting Goods,adventure-works\shu0,gerald0@adventure-works.com,169-555-0178,Jlxkjapdo78bvTdzddS8yoUxcj6pyFuXwdsCGn6KHvI=,ClRPyyM=,780cc0a0-5f32-4a54-9cf9-bd4e6090bf69,2007-09-01 00:00:00
29722,False,Mr.,Reuben,None,D'sa,None,Vigorous Exercise Company,adventure-works\josé1,reuben1@adventure-works.com,916-555-0137,EVeayvYSlWRfySd2RBGRSr93ST2Me+VDyAoD44WBrrg=,jj5f+ZA=,68396e18-907f-4cd5-a5f8-84d7969dac11,2005-09-01 00:00:00
29727,False,Mr.,Bart,None,Duncan,None,Stock Parts and Supplies,adventure-works\david8,bart0@adventure-works.com,539-555-0121,NJJTfbDws96bPa7Giz9Mmq+M0NSYcjlcfwpjsUnYWdE=,MPxWTOU=,ca138a8b-0d82-45b4-92e2-4de3a3fdc2f6,2007-08-01 00:00:00
29728,False,Mr.,Maciej,None,Dusza,None,Roadway Supplies,adventure-works\shu0,maciej1@adventure-works.com,962-555-0144,v404bp5zCcIyJO+s50eW4MbBxBjjkDQJe5ee5fvwBKI=,pDYvCjw=,e7fb711f-ac12-408a-a6f1-8af3428ddacb,2005-11-01 00:00:00
29730,False,Ms.,Linda,R.,Ecoffey,None,Future Bikes,adventure-works\josé1,linda5@adventure-works.com,674-555-0188,zM1odbx2eTJoH556dXSIqTCDa5EBj8DWUSHVo67GEGc=,Q5U1IZU=,651c8184-9bf1-4a57-982d-e0f35e06fcea,2006-12-01 00:00:00
29732,False,Ms.,Carol,B.,Elliott,None,Satin Finish Company,adventure-works\jillian0,carol2@adventure-works.com,847-555-0151,TIOaZdFb/aFk03gncvEijaflLdTkxJfJnFJXXZdBDds=,PavVqD4=,6515368a-c51e-4b53-858f-377067379799,2006-08-01 00:00:00
29733,False,Ms.,Shannon,P.,Elliott,None,Regional Manufacturing,adventure-works\shu0,shannon0@adventure-works.com,425-555-0158,GgQkc8evqVQZvWwqG9L+QxrK0lzeuCIX4JIe535eQ8Y=,2HvuG3I=,e8f81644-1d44-4d25-9756-5897e20fbaae,2005-09-01 00:00:00
29734,False,Ms.,Jauna,E.,Elson,None,Original Bicycle Supply Company,adventure-works\josé1,jauna0@adventure-works.com,185-555-0190,CkyI2hpILZNVv06ClZJ5hmNstcWHJxU+3sqIAEO7AbM=,bsrg3KE=,789f3cee-056d-48cb-8805-1f69b61d020f,2005-07-01 00:00:00
29736,False,Mr.,Terry,None,Eminhizer,None,Action Bicycle Specialists,adventure-works\jae0,terry1@adventure-works.com,1 (11) 500 555-0176,y8RaWYkfTrcpFEipLXAyKC2pL8AJgQhpW2mOmZ8sqF4=,vx5Ko/Q=,2252470b-71f6-4077-a744-613525a2df0d,2007-09-01 00:00:00
29737,False,Mr.,John,None,Emory,None,Roadway Bike Emporium,adventure-works\pamela0,john16@adventure-works.com,691-555-0149,EXyX+Acbgfz6Y4iZ9KNW4TsmchGMdgjtJqmn+Xu2Mws=,/4/gh8A=,31f1935f-6c9a-43d7-8308-4ee7cd05ac56,2007-07-01 00:00:00
29738,False,Ms.,Gail,None,Erickson,None,Sleek Bikes ,adventure-works\jillian0,gail1@adventure-works.com,834-555-0132,yV4p9H28cp19QO/bcSjLxZFYAs22W5SR9HnmTXUEWkM=,qUowBt4=,45670ee4-0a61-4029-bb82-cbf857d17c3f,2007-09-01 00:00:00
29739,False,Mr.,Mark,B,Erickson,None,Retail Sporting Equipment,adventure-works\shu0,mark2@adventure-works.com,962-555-0112,pDvvWVr112kWGzoRmRsd4CgPPnyLtAEQGoYHe7Q65PM=,zYqZHNo=,230503e0-1713-45af-ab88-e424cb7ee88f,2006-09-01 00:00:00
29740,False,Ms.,Martha,R.,Espinoza,None,Price-Cutter Discount Bikes,adventure-works\josé1,martha0@adventure-works.com,753-555-0179,pGBoWobCmo+yyzVgDnZL5z3fgTKLorCbJuofCkwniGs=,ZFXGiMU=,ae422ea0-d7c2-4804-8e11-3354822a72ae,2005-09-01 00:00:00
29741,False,Sra.,Janeth,None,Esteves,None,Central Bicycle Specialists,adventure-works\jae0,janeth1@adventure-works.com,1 (11) 500 555-0136,X1Y5qQtF/cCa0JcWV87/0KfmpSje5R9/RdWM+fyB7Go=,+iF/Sqs=,7d8c6b41-4d65-4f2c-ab91-5fce276b5bf5,2007-09-01 00:00:00
29742,False,Ms.,Twanna,R.,Evans,None,Vast Bike Sales and Rental,adventure-works\pamela0,twanna0@adventure-works.com,554-555-0124,357SDpcamaYl8SbrrrNR4GmwYLlfdnZvJy645g6uNIw=,5hdHSeE=,6e7eb054-ab8e-4f7b-9b94-36010b817829,2005-08-01 00:00:00
29743,False,Ms.,Ann,R.,Evans,None,Summer Sports Place,adventure-works\jillian0,ann1@adventure-works.com,252-555-0127,DLW2IAbnBTdpl45F2NtNmotuCcasAhlznF/e4eBbffs=,r8MY8Co=,e67fff84-4c4b-4da1-becb-f9d46c8532f0,2006-09-01 00:00:00
29744,False,Mr.,John,None,Evans,None,Real Sporting Goods,adventure-works\shu0,john17@adventure-works.com,581-555-0172,zI7V47DGDDCr+5PUQzccWY8u8MazpHxzT0wB13+8m50=,Pz84Lbs=,05b8af66-8ab7-4deb-9a8b-55f5be12e0cf,2006-07-01 00:00:00
29747,False,Ms.,Carolyn,None,Farino,None,The Bike Shop,adventure-works\david8,carolyn0@adventure-works.com,957-555-0125,jnz8GF/glxwiqqdUVHkoV+53Mp1HOnFR/azWzJ80Ktc=,qwoGYjU=,6da910ef-e6f8-438d-ab3c-82725c41bc6d,2005-07-01 00:00:00
29748,False,Ms.,Geri,P.,Farrell,None,Safe Toys,adventure-works\shu0,geri0@adventure-works.com,329-555-0183,Wc/TlRg7q92tTI8Njp2Ivs8eKIRej8TfabwOQYYybe8=,anxKyOc=,a33442c5-66e8-4fe6-8956-df59e10c31fc,2005-09-01 00:00:00
29750,False,Ms.,Rhoda,J.,Finley,None,Our Sporting Goods Store,adventure-works\josé1,rhoda0@adventure-works.com,920-555-0191,q1tCJRWRCSt1/VrADrMeQkLwbHjw1LlGOdVX8DLaYoM=,83MFiok=,6abbcf8f-46d6-4643-938f-f36ceacd4385,2006-09-01 00:00:00
29753,False,Ms.,Kathie,None,Flood,None,Coho Sports,adventure-works\david8,kathie1@adventure-works.com,627-555-0192,UA0N5pHkC4DZZ4xHgqJohcC+5L3JnoaegTulnb1lrhA=,WGizZm8=,f9fee375-1e4c-433f-ba88-6289a7572081,2006-08-01 00:00:00
29755,False,Ms.,Kelly,None,Focht,None,Quick Delivery Service,adventure-works\garrett1,kelly0@adventure-works.com,272-555-0123,xU8UixWEoFZ9PDzLfFA3AiuIaKPV9Z2ALf/Kbpu51Zo=,E7joL4U=,470125b0-0659-4794-a945-6f726920c983,2005-09-01 00:00:00
29757,False,Mr.,Garth,None,Fort,None,Basic Sports Equipment,adventure-works\linda3,garth0@adventure-works.com,768-555-0125,M2NMXJ5k9IJ7AKmryPzUhZqIMVsjJHs5P2voDCVEbsc=,sQuHPto=,f90748ff-6a57-4a62-80d9-bdb134e1408d,2005-08-01 00:00:00
29758,False,Ms.,Dorothy,J.,Fox,None,Cash & Carry Bikes,adventure-works\jillian0,dorothy1@adventure-works.com,191-555-0198,s7Q4rdzaHWhqJHdZ05GB5VHh1eeVXQopPtyTvqSdehM=,GQqIg64=,2fe3a6ba-4d59-4bce-83fc-98a8471dab30,2006-09-01 00:00:00
29761,False,Ms.,Susan,E.,French,None,General Bike Corporation,adventure-works\garrett1,susan3@adventure-works.com,994-555-0194,bdpqUxwvIpfkW2ApgaplNkwQ17fOA3rjtmM6B9f2qYE=,MO+/tX0=,c994cd65-ac9d-4560-909c-6f2090a516ff,2005-07-01 00:00:00
29763,False,Mr.,Mihail,None,Frintu,None,Retail Cycle Shop,adventure-works\linda3,mihail1@adventure-works.com,777-555-0163,0drckP/Xt0FMU29UWCYFp/wxtTBNd5PxmzaxMM5VKYc=,hxyAApA=,4611605f-4d45-4dd1-80fd-b418fe4af0ba,2006-09-01 00:00:00
29764,False,Mr.,John,None,Ford,None,Social Activities Club,adventure-works\jillian0,john19@adventure-works.com,596-555-0153,Uu7MYSoXZONPT3nnOss6MamCI0JtQpdQ0lHxfbTXg2s=,MFN+Ar8=,9eabc427-1257-4628-8beb-88a9990a601c,2005-08-01 00:00:00
29765,False,Mr.,Paul,J.,Fulton,None,Blue Bicycle Company,adventure-works\michael9,paul3@adventure-works.com,492-555-0146,kdhlX1CwoRb+G+IbaNr94q5wH+aDau5he+dsV5sbuXw=,HfBhcWQ=,97c380b3-7ccf-4e10-8d3f-2f0734c9ab0a,2006-08-01 00:00:00
29766,False,Mr.,Bob,None,Gage,None,General Riding Supplies,adventure-works\garrett1,bob1@adventure-works.com,962-555-0175,SeCchhGjoFaNiCwjURJ30XSE9lKCbSxUL9tDtRrg1FU=,hZbeVTs=,9efb3752-7f40-4e64-b9e2-383a6df6aefa,2007-02-01 00:00:00
29768,False,Mr.,Michael,None,Galos,None,Riding Excursions,adventure-works\linda3,michael15@adventure-works.com,912-555-0149,Wwwn13Huxc1/wSvPmlYH5pXoqz1XUDSzAdavDQcyTKk=,x+UpoXE=,c5614f21-602e-49e6-9021-b405be529b46,2006-01-01 00:00:00
29769,False,Mr.,Jon,None,Ganio,None,Unique Bikes,adventure-works\jillian0,jon0@adventure-works.com,672-555-0112,bWjEPINRmvLEbxP7M/s7AJTqpJenlAkq34rNVCEXqpc=,+Yo0P+0=,8c81dd5f-ea36-47b0-a5f1-7583bc5dabc2,2005-09-01 00:00:00
29770,False,Ms.,Kathleen,M.,Garza,None,Rural Cycle Emporium,adventure-works\josé1,kathleen0@adventure-works.com,150-555-0127,Qa3aMCxNbVLGrc0b99KsbQqiVgwYDfHcsK9GZSUxcTM=,Ls05W3g=,7b3994cc-51c3-4c0a-9665-3a3d71f85677,2006-09-01 00:00:00
29771,False,Mr.,Dominic,P.,Gash,None,Associated Bikes,adventure-works\shu0,dominic0@adventure-works.com,192-555-0173,ZccoP/jZGQm+Xpzc7RKwDhS11YFNybwcPVRYTSNcnSg=,sPoUBSQ=,281316f0-4fa6-42fd-8b3a-b532b38a7f84,2006-07-01 00:00:00
29772,False,Ms.,Janet,M.,Gates,None,Modular Cycle Systems,adventure-works\jillian0,janet1@adventure-works.com,710-555-0173,ElzTpSNbUW1Ut+L5cWlfR7MF6nBZia8WpmGaQPjLOJA=,nm7D5e4=,949e9ac8-f8f6-4f7f-ba2d-87187ac56919,2006-07-01 00:00:00
29773,False,Mr.,Orlando,N.,Gee,None,A Bike Store,adventure-works\pamela0,orlando0@adventure-works.com,245-555-0173,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,1KjXYs4=,b956a64d-040c-4230-ac9b-b927f7dd1ba7,2005-08-01 00:00:00
